frame,OH_SiO2,OH_CSH_on_O_Hydroxyl,OH_CSH_on_O_Bridging,OH_CSH_Water,OH_IF,OH_IF_CaCoord,OH_SiO2_per_nm2,OH_CSH_on_O_Hydroxyl_per_nm2,OH_CSH_on_O_Bridging_per_nm2,OH_CSH_Water_per_nm2,OH_IF_per_nm2,OH_IF_CaCoord_per_nm2,OH_SiO2_per_nm3,OH_CSH_on_O_Hydroxyl_per_nm3,OH_CSH_on_O_Bridging_per_nm3,OH_CSH_Water_per_nm3,OH_IF_per_nm3,OH_IF_CaCoord_per_nm3
161,180,282,0,168,382,214,9.272980608,14.52766962,0,8.654781901,19.67932551,11.02454361,4.037915733,6.326067981,0,3.76872135,8.569354499,4.800633149
162,180,278,0,168,384,212,9.272980608,14.32160338,0,8.654781901,19.78235863,10.92151049,4.043021275,6.244221748,0,3.773486524,8.625112054,4.761780613
163,180,281,0,168,386,210,9.272980608,14.47615306,0,8.654781901,19.88539175,10.81847738,4.030643302,6.292282043,0,3.761933748,8.643490636,4.702417185
164,180,280,0,170,375,220,9.272980608,14.4246365,0,8.757815018,19.3187096,11.33364297,4.040708098,6.285545931,0,3.816224315,8.418141871,4.938643231
165,180,285,0,168,378,218,9.272980608,14.6822193,0,8.654781901,19.47325928,11.23060985,4.03050052,6.381625824,0,3.761800485,8.464051092,4.881383963
166,180,284,0,168,396,200,9.272980608,14.63070274,0,8.654781901,20.40055734,10.30331179,4.031642178,6.361035437,0,3.762866033,8.869612792,4.47960242
167,180,283,0,170,395,200,9.272980608,14.57918618,0,8.757815018,20.34904078,10.30331179,4.050357058,6.368061375,0,3.825337222,8.888283545,4.500396732
168,180,285,0,168,378,216,9.272980608,14.6822193,0,8.654781901,19.47325928,11.12757673,4.036046637,6.390407175,0,3.766976861,8.475697937,4.843255964
169,180,285,0,168,382,214,9.272980608,14.6822193,0,8.654781901,19.67932551,11.02454361,4.038183892,6.393791163,0,3.768971633,8.569923594,4.800951961
170,180,283,0,168,386,210,9.272980608,14.57918618,0,8.654781901,19.88539175,10.81847738,4.028500017,6.333697249,0,3.759933349,8.638894481,4.699916687
171,180,284,0,170,376,218,9.272980608,14.63070274,0,8.757815018,19.37022616,11.23060985,4.045176514,6.382389611,0,3.820444485,8.449924274,4.899158222
172,180,284,0,170,376,218,9.272980608,14.63070274,0,8.757815018,19.37022616,11.23060985,4.043917837,6.380403698,0,3.819255735,8.447295036,4.897633824
173,180,283,0,170,388,206,9.272980608,14.57918618,0,8.757815018,19.98842487,10.61241114,4.041364081,6.353922416,0,3.816843854,8.711384797,4.62511667
174,180,284,0,168,374,222,9.272980608,14.63070274,0,8.654781901,19.26719304,11.43667608,4.029872577,6.3582434,0,3.761214406,8.373179688,4.970176179
175,180,283,0,168,382,214,9.272980608,14.57918618,0,8.654781901,19.67932551,11.02454361,4.035634737,6.344914614,0,3.766592421,8.56451372,4.797921298
176,180,281,0,166,380,218,9.272980608,14.47615306,0,8.551748783,19.57629239,11.23060985,4.03757377,6.303101275,0,3.723540255,8.523766849,4.889950455
177,180,284,0,166,374,222,9.272980608,14.63070274,0,8.551748783,19.26719304,11.43667608,4.058107516,6.402791858,0,3.742476931,8.431845616,5.004999269
178,180,284,0,169,378,218,9.272980608,14.63070274,0,8.706298459,19.47325928,11.23060985,4.030280674,6.358887286,0,3.783985744,8.463589416,4.881117705
179,180,279,0,168,386,210,9.272980608,14.37311994,0,8.654781901,19.88539175,10.81847738,4.048029297,6.27444541,0,3.778160677,8.680773937,4.722700846
180,180,281,0,170,372,224,9.272980608,14.47615306,0,8.757815018,19.16415992,11.5397092,4.050940966,6.323968952,0,3.82588869,8.371944662,5.041170979
181,180,280,0,170,384,210,9.272980608,14.4246365,0,8.757815018,19.78235863,10.81847738,4.051171921,6.301822988,0,3.826106814,8.642500098,4.726367241
182,180,282,0,170,366,228,9.272980608,14.52766962,0,8.757815018,18.85506057,11.74577544,4.039754882,6.328949315,0,3.815324055,8.214168259,5.11702285
183,180,281,0,168,378,218,9.272980608,14.47615306,0,8.654781901,19.47325928,11.23060985,4.048814938,6.320649986,0,3.778893942,8.502511369,4.903564758
184,180,286,0,168,380,216,9.272980608,14.73373585,0,8.654781901,19.57629239,11.12757673,4.02895685,6.401564772,0,3.760359726,8.505575572,4.83474822
185,180,281,0,170,358,236,9.272980608,14.47615306,0,8.757815018,18.4429281,12.15790791,4.061295162,6.340133003,0,3.835667653,8.077464822,5.324809212
186,180,280,0,170,397,198,9.272980608,14.4246365,0,8.757815018,20.4520739,10.20027867,4.051508224,6.302346127,0,3.826424434,8.935826473,4.456659047
187,180,280,0,170,383,212,9.272980608,14.4246365,0,8.757815018,19.73084207,10.92151049,4.053919741,6.306097374,0,3.828701977,8.625840337,4.774616583
188,180,281,0,170,380,214,9.272980608,14.47615306,0,8.757815018,19.57629239,11.02454361,4.040710739,6.307998432,0,3.816226809,8.530389339,4.803956101
189,180,283,0,168,372,224,9.272980608,14.57918618,0,8.654781901,19.16415992,11.5397092,4.036736252,6.346646441,0,3.767620502,8.342588254,5.023494002
190,180,283,0,168,400,196,9.272980608,14.57918618,0,8.654781901,20.60662357,10.09724555,4.03068535,6.337133077,0,3.761972993,8.957078555,4.388968492
191,180,285,0,168,387,210,9.272980608,14.6822193,0,8.654781901,19.93690831,10.81847738,4.043285706,6.401869035,0,3.773733326,8.693064269,4.717166657
192,180,279,0,168,386,210,9.272980608,14.37311994,0,8.654781901,19.88539175,10.81847738,4.053497983,6.282921874,0,3.783264784,8.692501231,4.72908098
193,180,281,0,166,362,234,9.272980608,14.47615306,0,8.551748783,18.64899433,12.05487479,4.057320928,6.333928782,0,3.741751522,8.159723199,5.274517206
194,180,282,0,168,361,236,9.272980608,14.52766962,0,8.654781901,18.59747777,12.15790791,4.054319428,6.351767104,0,3.784031466,8.131162853,5.31566325
195,180,283,0,168,388,208,9.272980608,14.57918618,0,8.654781901,19.98842487,10.71544426,4.037230109,6.347422893,0,3.768081435,8.70247379,4.665243681
196,180,283,0,168,376,220,9.272980608,14.57918618,0,8.654781901,19.37022616,11.33364297,4.054714761,6.374912653,0,3.784400444,8.469848613,4.955762486
197,180,283,0,168,380,216,9.272980608,14.57918618,0,8.654781901,19.57629239,11.12757673,4.044491068,6.358838735,0,3.77485833,8.538370033,4.853389282
198,180,280,0,168,384,212,9.272980608,14.4246365,0,8.654781901,19.78235863,10.92151049,4.050372981,6.300580193,0,3.780348116,8.640795693,4.770439289
199,180,284,0,168,368,228,9.272980608,14.63070274,0,8.654781901,18.95809369,11.74577544,4.048756601,6.388038192,0,3.778839494,8.277457939,5.128425028
