frame,OH_SiO2,OH_CSH_on_O_Hydroxyl,OH_CSH_on_O_Bridging,OH_CSH_Water,OH_IF,OH_IF_CaCoord,OH_SiO2_per_nm2,OH_CSH_on_O_Hydroxyl_per_nm2,OH_CSH_on_O_Bridging_per_nm2,OH_CSH_Water_per_nm2,OH_IF_per_nm2,OH_IF_CaCoord_per_nm2,OH_SiO2_per_nm3,OH_CSH_on_O_Hydroxyl_per_nm3,OH_CSH_on_O_Bridging_per_nm3,OH_CSH_Water_per_nm3,OH_IF_per_nm3,OH_IF_CaCoord_per_nm3
37,180,282,0,172,387,206,9.272980608,14.52766962,0,8.860848136,19.93690831,10.61241114,4.049681352,6.344500784,0,3.869695514,8.706814906,4.634635325
38,180,285,0,174,384,208,9.272980608,14.6822193,0,8.963881254,19.78235863,10.71544426,4.036851357,6.391681316,0,3.902289645,8.611949562,4.664806013
39,180,281,0,170,370,226,9.272980608,14.47615306,0,8.757815018,19.0611268,11.64274232,4.028909586,6.289575521,0,3.805081276,8.281647483,5.058519814
40,180,279,0,174,384,208,9.272980608,14.37311994,0,8.963881254,19.78235863,10.71544426,4.02683197,6.241589554,0,3.892604238,8.59057487,4.653228055
41,180,284,0,174,372,220,9.272980608,14.63070274,0,8.963881254,19.16415992,11.33364297,4.021865762,6.345610424,0,3.88780357,8.311855908,4.915613709
42,180,278,0,174,388,204,9.272980608,14.32160338,0,8.963881254,19.98842487,10.50937802,4.044673655,6.246773756,0,3.9098512,8.718518767,4.583963475
43,180,279,0,170,376,220,9.272980608,14.37311994,0,8.757815018,19.37022616,11.33364297,4.032107613,6.249766801,0,3.808101635,8.422624792,4.928131528
44,180,280,0,172,376,218,9.272980608,14.4246365,0,8.860848136,19.37022616,11.23060985,4.029929496,6.268779216,0,3.850821518,8.418074947,4.880692389
45,180,276,0,172,385,210,9.272980608,14.21857027,0,8.860848136,19.83387519,10.81847738,4.034731311,6.18658801,0,3.85540992,8.629841971,4.70718653
46,180,281,0,172,383,212,9.272980608,14.47615306,0,8.860848136,19.73084207,10.92151049,4.027521064,6.287407883,0,3.848520128,8.569669819,4.743524809
