frame,Ca-O_SiO2_Surface,Ca-O_SiO2_Structural,Ca-O_Water_IF_CaCoord,CSH_Si-O_SiO2_Surface,CSH_Si-O_SiO2_Structural,Si_Surface-O_Hydroxyl_CSH,Si_Bulk-O_Hydroxyl_CSH,Si_Surface-O_NBO_CSH,Si_Bulk-O_NBO_CSH,Ca-O_SiO2_Surface_per_nm2,Ca-O_SiO2_Structural_per_nm2,Ca-O_Water_IF_CaCoord_per_nm2,CSH_Si-O_SiO2_Surface_per_nm2,CSH_Si-O_SiO2_Structural_per_nm2,Si_Surface-O_Hydroxyl_CSH_per_nm2,Si_Bulk-O_Hydroxyl_CSH_per_nm2,Si_Surface-O_NBO_CSH_per_nm2,Si_Bulk-O_NBO_CSH_per_nm2,Ca-O_SiO2_Surface_per_nm3,Ca-O_SiO2_Structural_per_nm3,Ca-O_Water_IF_CaCoord_per_nm3,CSH_Si-O_SiO2_Surface_per_nm3,CSH_Si-O_SiO2_Structural_per_nm3,Si_Surface-O_Hydroxyl_CSH_per_nm3,Si_Bulk-O_Hydroxyl_CSH_per_nm3,Si_Surface-O_NBO_CSH_per_nm3,Si_Bulk-O_NBO_CSH_per_nm3,Ca-O_SiO2_Surface_per_Ca,Ca-O_SiO2_Structural_per_Ca,Ca-O_Water_IF_CaCoord_per_Ca,CN_Ca_total_per_Ca
114,0,0,107,0,0,0,0,0,0,0,0,5.512271806,0,0,0,0,0,0,0,0,2.394568094,0,0,0,0,0,0,0,0,0.4331983806,0.4331983806
115,0,0,114,0,0,0,0,0,0,0,0,5.872887718,0,0,0,0,0,0,0,0,2.565504604,0,0,0,0,0,0,0,0,0.4634146341,0.4634146341
116,0,0,106,0,0,0,0,0,0,0,0,5.460755247,0,0,0,0,0,0,0,0,2.380062735,0,0,0,0,0,0,0,0,0.4291497976,0.4291497976
117,0,0,111,0,0,0,0,0,0,0,0,5.718338041,0,0,0,0,0,0,0,0,2.495272241,0,0,0,0,0,0,0,0,0.4493927126,0.4493927126
118,0,0,99,0,0,0,0,0,0,0,0,5.100139334,0,0,0,0,0,0,0,0,2.226492898,0,0,0,0,0,0,0,0,0.4024390244,0.4024390244
119,0,0,100,0,0,0,0,0,0,0,0,5.151655893,0,0,0,0,0,0,0,0,2.236877772,0,0,0,0,0,0,0,0,0.406504065,0.406504065
120,0,0,108,0,0,0,0,0,0,0,0,5.563788365,0,0,0,0,0,0,0,0,2.435598904,0,0,0,0,0,0,0,0,0.4408163265,0.4408163265
121,0,0,113,0,0,0,0,0,0,0,0,5.821371159,0,0,0,0,0,0,0,0,2.535438192,0,0,0,0,0,0,0,0,0.4593495935,0.4593495935
122,0,0,106,0,0,0,0,0,0,0,0,5.460755247,0,0,0,0,0,0,0,0,2.379719422,0,0,0,0,0,0,0,0,0.4308943089,0.4308943089
123,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.445509228,0,0,0,0,0,0,0,0,0.4430894309,0.4430894309
124,0,0,117,0,0,0,0,0,0,0,0,6.027437395,0,0,0,0,0,0,0,0,2.623285308,0,0,0,0,0,0,0,0,0.4775510204,0.4775510204
125,0,0,116,0,0,0,0,0,0,0,0,5.975920836,0,0,0,0,0,0,0,0,2.596319849,0,0,0,0,0,0,0,0,0.4715447154,0.4715447154
126,0,0,120,0,0,0,0,0,0,0,0,6.181987072,0,0,0,0,0,0,0,0,2.701574416,0,0,0,0,0,0,0,0,0.4858299595,0.4858299595
127,0,0,107,0,0,0,0,0,0,0,0,5.512271806,0,0,0,0,0,0,0,0,2.408552827,0,0,0,0,0,0,0,0,0.4403292181,0.4403292181
128,0,0,100,0,0,0,0,0,0,0,0,5.151655893,0,0,0,0,0,0,0,0,2.240582474,0,0,0,0,0,0,0,0,0.406504065,0.406504065
129,0,0,110,0,0,0,0,0,0,0,0,5.666821483,0,0,0,0,0,0,0,0,2.47512901,0,0,0,0,0,0,0,0,0.4489795918,0.4489795918
130,0,0,114,0,0,0,0,0,0,0,0,5.872887718,0,0,0,0,0,0,0,0,2.579535463,0,0,0,0,0,0,0,0,0.4691358025,0.4691358025
131,0,0,111,0,0,0,0,0,0,0,0,5.718338041,0,0,0,0,0,0,0,0,2.507364473,0,0,0,0,0,0,0,0,0.4530612245,0.4530612245
132,0,0,113,0,0,0,0,0,0,0,0,5.821371159,0,0,0,0,0,0,0,0,2.541863699,0,0,0,0,0,0,0,0,0.4650205761,0.4650205761
133,0,0,99,0,0,0,0,0,0,0,0,5.100139334,0,0,0,0,0,0,0,0,2.225673814,0,0,0,0,0,0,0,0,0.4040816327,0.4040816327
134,0,0,110,0,0,0,0,0,0,0,0,5.666821483,0,0,0,0,0,0,0,0,2.475229014,0,0,0,0,0,0,0,0,0.4435483871,0.4435483871
135,0,0,114,0,0,0,0,0,0,0,0,5.872887718,0,0,0,0,0,0,0,0,2.556925761,0,0,0,0,0,0,0,0,0.4578313253,0.4578313253
136,0,0,104,0,0,0,0,0,0,0,0,5.357722129,0,0,0,0,0,0,0,0,2.337199843,0,0,0,0,0,0,0,0,0.4193548387,0.4193548387
137,0,0,104,0,0,0,0,0,0,0,0,5.357722129,0,0,0,0,0,0,0,0,2.33368105,0,0,0,0,0,0,0,0,0.4227642276,0.4227642276
138,0,0,110,0,0,0,0,0,0,0,0,5.666821483,0,0,0,0,0,0,0,0,2.483163617,0,0,0,0,0,0,0,0,0.4471544715,0.4471544715
139,0,0,119,0,0,0,0,0,0,0,0,6.130470513,0,0,0,0,0,0,0,0,2.686402768,0,0,0,0,0,0,0,0,0.4837398374,0.4837398374
140,0,0,110,0,0,0,0,0,0,0,0,5.666821483,0,0,0,0,0,0,0,0,2.459451722,0,0,0,0,0,0,0,0,0.4471544715,0.4471544715
141,0,0,106,0,0,0,0,0,0,0,0,5.460755247,0,0,0,0,0,0,0,0,2.390091354,0,0,0,0,0,0,0,0,0.4344262295,0.4344262295
142,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.454683141,0,0,0,0,0,0,0,0,0.4412955466,0.4412955466
143,0,0,107,0,0,0,0,0,0,0,0,5.512271806,0,0,0,0,0,0,0,0,2.395384942,0,0,0,0,0,0,0,0,0.4314516129,0.4314516129
144,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.44717235,0,0,0,0,0,0,0,0,0.4412955466,0.4412955466
145,0,0,108,0,0,0,0,0,0,0,0,5.563788365,0,0,0,0,0,0,0,0,2.422101324,0,0,0,0,0,0,0,0,0.435483871,0.435483871
146,0,0,113,0,0,0,0,0,0,0,0,5.821371159,0,0,0,0,0,0,0,0,2.540431086,0,0,0,0,0,0,0,0,0.4631147541,0.4631147541
147,0,0,113,0,0,0,0,0,0,0,0,5.821371159,0,0,0,0,0,0,0,0,2.522586854,0,0,0,0,0,0,0,0,0.4574898785,0.4574898785
148,0,0,110,0,0,0,0,0,0,0,0,5.666821483,0,0,0,0,0,0,0,0,2.46048382,0,0,0,0,0,0,0,0,0.4453441296,0.4453441296
149,0,0,111,0,0,0,0,0,0,0,0,5.718338041,0,0,0,0,0,0,0,0,2.487810446,0,0,0,0,0,0,0,0,0.4512195122,0.4512195122
150,0,0,108,0,0,0,0,0,0,0,0,5.563788365,0,0,0,0,0,0,0,0,2.431313912,0,0,0,0,0,0,0,0,0.4444444444,0.4444444444
151,0,0,103,0,0,0,0,0,0,0,0,5.30620557,0,0,0,0,0,0,0,0,2.305581355,0,0,0,0,0,0,0,0,0.4136546185,0.4136546185
152,0,0,107,0,0,0,0,0,0,0,0,5.512271806,0,0,0,0,0,0,0,0,2.395404199,0,0,0,0,0,0,0,0,0.4349593496,0.4349593496
153,0,0,110,0,0,0,0,0,0,0,0,5.666821483,0,0,0,0,0,0,0,0,2.476392893,0,0,0,0,0,0,0,0,0.4435483871,0.4435483871
154,0,0,114,0,0,0,0,0,0,0,0,5.872887718,0,0,0,0,0,0,0,0,2.556506699,0,0,0,0,0,0,0,0,0.4578313253,0.4578313253
155,0,0,112,0,0,0,0,0,0,0,0,5.7698546,0,0,0,0,0,0,0,0,2.502722745,0,0,0,0,0,0,0,0,0.4516129032,0.4516129032
156,0,0,107,0,0,0,0,0,0,0,0,5.512271806,0,0,0,0,0,0,0,0,2.399835348,0,0,0,0,0,0,0,0,0.4367346939,0.4367346939
157,0,0,100,0,0,0,0,0,0,0,0,5.151655893,0,0,0,0,0,0,0,0,2.254435113,0,0,0,0,0,0,0,0,0.4081632653,0.4081632653
158,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.449281012,0,0,0,0,0,0,0,0,0.4467213115,0.4467213115
159,0,0,107,0,0,0,0,0,0,0,0,5.512271806,0,0,0,0,0,0,0,0,2.398650089,0,0,0,0,0,0,0,0,0.4331983806,0.4331983806
160,0,0,112,0,0,0,0,0,0,0,0,5.7698546,0,0,0,0,0,0,0,0,2.50817115,0,0,0,0,0,0,0,0,0.4571428571,0.4571428571
161,0,0,107,0,0,0,0,0,0,0,0,5.512271806,0,0,0,0,0,0,0,0,2.400316574,0,0,0,0,0,0,0,0,0.4331983806,0.4331983806
162,0,0,106,0,0,0,0,0,0,0,0,5.460755247,0,0,0,0,0,0,0,0,2.380890307,0,0,0,0,0,0,0,0,0.4344262295,0.4344262295
163,0,0,105,0,0,0,0,0,0,0,0,5.409238688,0,0,0,0,0,0,0,0,2.351208593,0,0,0,0,0,0,0,0,0.4251012146,0.4251012146
164,0,0,110,0,0,0,0,0,0,0,0,5.666821483,0,0,0,0,0,0,0,0,2.469321616,0,0,0,0,0,0,0,0,0.4435483871,0.4435483871
165,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.440691982,0,0,0,0,0,0,0,0,0.439516129,0.439516129
166,0,0,100,0,0,0,0,0,0,0,0,5.151655893,0,0,0,0,0,0,0,0,2.23980121,0,0,0,0,0,0,0,0,0.406504065,0.406504065
167,0,0,100,0,0,0,0,0,0,0,0,5.151655893,0,0,0,0,0,0,0,0,2.250198366,0,0,0,0,0,0,0,0,0.4081632653,0.4081632653
168,0,0,108,0,0,0,0,0,0,0,0,5.563788365,0,0,0,0,0,0,0,0,2.421627982,0,0,0,0,0,0,0,0,0.4390243902,0.4390243902
169,0,0,107,0,0,0,0,0,0,0,0,5.512271806,0,0,0,0,0,0,0,0,2.400475981,0,0,0,0,0,0,0,0,0.4331983806,0.4331983806
170,0,0,105,0,0,0,0,0,0,0,0,5.409238688,0,0,0,0,0,0,0,0,2.349958343,0,0,0,0,0,0,0,0,0.4251012146,0.4251012146
171,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.449579111,0,0,0,0,0,0,0,0,0.4430894309,0.4430894309
172,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.448816912,0,0,0,0,0,0,0,0,0.4467213115,0.4467213115
173,0,0,103,0,0,0,0,0,0,0,0,5.30620557,0,0,0,0,0,0,0,0,2.312558335,0,0,0,0,0,0,0,0,0.4170040486,0.4170040486
174,0,0,111,0,0,0,0,0,0,0,0,5.718338041,0,0,0,0,0,0,0,0,2.485088089,0,0,0,0,0,0,0,0,0.4530612245,0.4530612245
175,0,0,107,0,0,0,0,0,0,0,0,5.512271806,0,0,0,0,0,0,0,0,2.398960649,0,0,0,0,0,0,0,0,0.4385245902,0.4385245902
176,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.444975228,0,0,0,0,0,0,0,0,0.4448979592,0.4448979592
177,0,0,111,0,0,0,0,0,0,0,0,5.718338041,0,0,0,0,0,0,0,0,2.502499635,0,0,0,0,0,0,0,0,0.4530612245,0.4530612245
178,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.440558853,0,0,0,0,0,0,0,0,0.4412955466,0.4412955466
179,0,0,105,0,0,0,0,0,0,0,0,5.409238688,0,0,0,0,0,0,0,0,2.361350423,0,0,0,0,0,0,0,0,0.4303278689,0.4303278689
180,0,0,112,0,0,0,0,0,0,0,0,5.7698546,0,0,0,0,0,0,0,0,2.52058549,0,0,0,0,0,0,0,0,0.4534412955,0.4534412955
181,0,0,105,0,0,0,0,0,0,0,0,5.409238688,0,0,0,0,0,0,0,0,2.36318362,0,0,0,0,0,0,0,0,0.4268292683,0.4268292683
182,0,0,114,0,0,0,0,0,0,0,0,5.872887718,0,0,0,0,0,0,0,0,2.558511425,0,0,0,0,0,0,0,0,0.4596774194,0.4596774194
183,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.451782379,0,0,0,0,0,0,0,0,0.4448979592,0.4448979592
184,0,0,108,0,0,0,0,0,0,0,0,5.563788365,0,0,0,0,0,0,0,0,2.41737411,0,0,0,0,0,0,0,0,0.4372469636,0.4372469636
185,0,0,118,0,0,0,0,0,0,0,0,6.078953954,0,0,0,0,0,0,0,0,2.662404606,0,0,0,0,0,0,0,0,0.4777327935,0.4777327935
186,0,0,99,0,0,0,0,0,0,0,0,5.100139334,0,0,0,0,0,0,0,0,2.228329523,0,0,0,0,0,0,0,0,0.3991935484,0.3991935484
187,0,0,106,0,0,0,0,0,0,0,0,5.460755247,0,0,0,0,0,0,0,0,2.387308292,0,0,0,0,0,0,0,0,0.4326530612,0.4326530612
188,0,0,107,0,0,0,0,0,0,0,0,5.512271806,0,0,0,0,0,0,0,0,2.401978051,0,0,0,0,0,0,0,0,0.4314516129,0.4314516129
189,0,0,112,0,0,0,0,0,0,0,0,5.7698546,0,0,0,0,0,0,0,0,2.511747001,0,0,0,0,0,0,0,0,0.4534412955,0.4534412955
190,0,0,98,0,0,0,0,0,0,0,0,5.048622775,0,0,0,0,0,0,0,0,2.194484246,0,0,0,0,0,0,0,0,0.4,0.4
191,0,0,105,0,0,0,0,0,0,0,0,5.409238688,0,0,0,0,0,0,0,0,2.358583329,0,0,0,0,0,0,0,0,0.4303278689,0.4303278689
192,0,0,105,0,0,0,0,0,0,0,0,5.409238688,0,0,0,0,0,0,0,0,2.36454049,0,0,0,0,0,0,0,0,0.4320987654,0.4320987654
193,0,0,117,0,0,0,0,0,0,0,0,6.027437395,0,0,0,0,0,0,0,0,2.637258603,0,0,0,0,0,0,0,0,0.4795081967,0.4795081967
194,0,0,118,0,0,0,0,0,0,0,0,6.078953954,0,0,0,0,0,0,0,0,2.657831625,0,0,0,0,0,0,0,0,0.4816326531,0.4816326531
195,0,0,104,0,0,0,0,0,0,0,0,5.357722129,0,0,0,0,0,0,0,0,2.33262184,0,0,0,0,0,0,0,0,0.4210526316,0.4210526316
196,0,0,110,0,0,0,0,0,0,0,0,5.666821483,0,0,0,0,0,0,0,0,2.477881243,0,0,0,0,0,0,0,0,0.4453441296,0.4453441296
197,0,0,108,0,0,0,0,0,0,0,0,5.563788365,0,0,0,0,0,0,0,0,2.426694641,0,0,0,0,0,0,0,0,0.4372469636,0.4372469636
198,0,0,106,0,0,0,0,0,0,0,0,5.460755247,0,0,0,0,0,0,0,0,2.385219644,0,0,0,0,0,0,0,0,0.4326530612,0.4326530612
199,0,0,114,0,0,0,0,0,0,0,0,5.872887718,0,0,0,0,0,0,0,0,2.564212514,0,0,0,0,0,0,0,0,0.4615384615,0.4615384615
