frame,Ca-O_SiO2_Surface,Ca-O_SiO2_Structural,Ca-O_Water_IF_CaCoord,CSH_Si-O_SiO2_Surface,CSH_Si-O_SiO2_Structural,Si_Surface-O_Hydroxyl_CSH,Si_Bulk-O_Hydroxyl_CSH,Si_Surface-O_NBO_CSH,Si_Bulk-O_NBO_CSH,Ca-O_SiO2_Surface_per_nm2,Ca-O_SiO2_Structural_per_nm2,Ca-O_Water_IF_CaCoord_per_nm2,CSH_Si-O_SiO2_Surface_per_nm2,CSH_Si-O_SiO2_Structural_per_nm2,Si_Surface-O_Hydroxyl_CSH_per_nm2,Si_Bulk-O_Hydroxyl_CSH_per_nm2,Si_Surface-O_NBO_CSH_per_nm2,Si_Bulk-O_NBO_CSH_per_nm2,Ca-O_SiO2_Surface_per_nm3,Ca-O_SiO2_Structural_per_nm3,Ca-O_Water_IF_CaCoord_per_nm3,CSH_Si-O_SiO2_Surface_per_nm3,CSH_Si-O_SiO2_Structural_per_nm3,Si_Surface-O_Hydroxyl_CSH_per_nm3,Si_Bulk-O_Hydroxyl_CSH_per_nm3,Si_Surface-O_NBO_CSH_per_nm3,Si_Bulk-O_NBO_CSH_per_nm3,Ca-O_SiO2_Surface_per_Ca,Ca-O_SiO2_Structural_per_Ca,Ca-O_Water_IF_CaCoord_per_Ca,CN_Ca_total_per_Ca
30,0,0,102,0,0,0,0,0,0,0,0,5.254689011,0,0,0,0,0,0,0,0,2.285109882,0,0,0,0,0,0,0,0,0.4129554656,0.4129554656
31,0,0,104,0,0,0,0,0,0,0,0,5.357722129,0,0,0,0,0,0,0,0,2.331366768,0,0,0,0,0,0,0,0,0.4279835391,0.4279835391
32,0,0,113,0,0,0,0,0,0,0,0,5.821371159,0,0,0,0,0,0,0,0,2.547908618,0,0,0,0,0,0,0,0,0.4612244898,0.4612244898
33,0,0,108,0,0,0,0,0,0,0,0,5.563788365,0,0,0,0,0,0,0,0,2.422017501,0,0,0,0,0,0,0,0,0.4408163265,0.4408163265
34,0,0,110,0,0,0,0,0,0,0,0,5.666821483,0,0,0,0,0,0,0,0,2.472991409,0,0,0,0,0,0,0,0,0.4508196721,0.4508196721
35,0,0,107,0,0,0,0,0,0,0,0,5.512271806,0,0,0,0,0,0,0,0,2.409297632,0,0,0,0,0,0,0,0,0.4403292181,0.4403292181
36,0,0,112,0,0,0,0,0,0,0,0,5.7698546,0,0,0,0,0,0,0,0,2.523872786,0,0,0,0,0,0,0,0,0.4571428571,0.4571428571
37,0,0,103,0,0,0,0,0,0,0,0,5.30620557,0,0,0,0,0,0,0,0,2.317317662,0,0,0,0,0,0,0,0,0.418699187,0.418699187
38,0,0,104,0,0,0,0,0,0,0,0,5.357722129,0,0,0,0,0,0,0,0,2.332403006,0,0,0,0,0,0,0,0,0.4244897959,0.4244897959
39,0,0,113,0,0,0,0,0,0,0,0,5.821371159,0,0,0,0,0,0,0,0,2.529259907,0,0,0,0,0,0,0,0,0.4631147541,0.4631147541
40,0,0,104,0,0,0,0,0,0,0,0,5.357722129,0,0,0,0,0,0,0,0,2.326614027,0,0,0,0,0,0,0,0,0.4227642276,0.4227642276
41,0,0,110,0,0,0,0,0,0,0,0,5.666821483,0,0,0,0,0,0,0,0,2.457806854,0,0,0,0,0,0,0,0,0.4435483871,0.4435483871
42,0,0,102,0,0,0,0,0,0,0,0,5.254689011,0,0,0,0,0,0,0,0,2.291981738,0,0,0,0,0,0,0,0,0.4197530864,0.4197530864
43,0,0,110,0,0,0,0,0,0,0,0,5.666821483,0,0,0,0,0,0,0,0,2.464065764,0,0,0,0,0,0,0,0,0.4489795918,0.4489795918
44,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.440346195,0,0,0,0,0,0,0,0,0.4448979592,0.4448979592
45,0,0,105,0,0,0,0,0,0,0,0,5.409238688,0,0,0,0,0,0,0,0,2.353593265,0,0,0,0,0,0,0,0,0.4320987654,0.4320987654
46,0,0,106,0,0,0,0,0,0,0,0,5.460755247,0,0,0,0,0,0,0,0,2.371762404,0,0,0,0,0,0,0,0,0.4326530612,0.4326530612
47,0,0,106,0,0,0,0,0,0,0,0,5.460755247,0,0,0,0,0,0,0,0,2.376865264,0,0,0,0,0,0,0,0,0.4344262295,0.4344262295
48,0,0,111,0,0,0,0,0,0,0,0,5.718338041,0,0,0,0,0,0,0,0,2.490974364,0,0,0,0,0,0,0,0,0.4567901235,0.4567901235
49,0,0,107,0,0,0,0,0,0,0,0,5.512271806,0,0,0,0,0,0,0,0,2.40526803,0,0,0,0,0,0,0,0,0.4385245902,0.4385245902
50,0,0,104,0,0,0,0,0,0,0,0,5.357722129,0,0,0,0,0,0,0,0,2.3229301,0,0,0,0,0,0,0,0,0.4210526316,0.4210526316
51,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.44538356,0,0,0,0,0,0,0,0,0.4448979592,0.4448979592
52,0,0,108,0,0,0,0,0,0,0,0,5.563788365,0,0,0,0,0,0,0,0,2.425763585,0,0,0,0,0,0,0,0,0.4372469636,0.4372469636
