r(Angstrom),g_mean,g_se,CN_raw,CN_raw_se,g_smooth,CN_smooth
2.25,0.5124288374,0.04818608314,0.07393042178,0.007343354606,0.5037356294,0.07392400872
2.27,0.4661948721,0.05777357176,0.0764685194,0.007618500056,0.4776833992,0.07646982252
2.29,0.463300919,0.06268506448,0.07892301596,0.007936714657,0.4600138616,0.07894563484
2.31,0.4875529341,0.05806887861,0.08147879188,0.008261106278,0.4491080134,0.08138844377
2.33,0.3469229661,0.03234102057,0.08375711471,0.008507700074,0.4266946111,0.0837825492
2.35,0.4346492114,0.04797445823,0.08593319032,0.008731474074,0.4044943059,0.08609402341
2.37,0.4472403059,0.03155157233,0.08842863152,0.008956084142,0.3961668779,0.08835914287
2.39,0.3407254299,0.05561785878,0.09069340162,0.009207493251,0.3799443534,0.09059198529
2.41,0.3541972664,0.03886346772,0.09272709505,0.009483539961,0.3669159398,0.09277700355
2.43,0.3330883521,0.04199602725,0.09477125073,0.009724173972,0.3508841839,0.09491206471
2.45,0.3814632098,0.04799662135,0.09693352241,0.009996494317,0.3114254081,0.09691415968
2.47,0.2857122457,0.0411729653,0.09898213219,0.01027044519,0.290415364,0.09876378829
2.49,0.2764619128,0.03076910042,0.1007383262,0.01049495501,0.2897351355,0.1005763625
2.51,0.212555033,0.03714964689,0.1022893034,0.01071075515,0.271920953,0.1023591355
2.53,0.2587149191,0.03643220744,0.1038107753,0.01094810767,0.2605966636,0.1040767172
2.55,0.3026118047,0.02413358265,0.1056515729,0.01114628566,0.2534741403,0.105761324
2.57,0.289245079,0.03136264095,0.1076216147,0.01133122979,0.261408577,0.1074756601
2.59,0.2175319989,0.03450821201,0.1093333439,0.01155404702,0.2618716582,0.1092450847
2.61,0.264671354,0.0317007395,0.1109904816,0.01178133526,0.2666195328,0.1110600557
2.63,0.2640064747,0.03661942482,0.1128339881,0.01201970177,0.2529138131,0.1128713277
2.65,0.2478151708,0.02778967823,0.1146456512,0.01224750448,0.2457991147,0.1146368231
2.67,0.2446062253,0.03427923156,0.1164154906,0.01247077614,0.2408820974,0.1163859842
2.69,0.2525609612,0.03267195966,0.1182296639,0.01271500948,0.2422774716,0.1181488709
2.71,0.2141515286,0.02956945627,0.1199569604,0.01294541951,0.2327168723,0.1199076285
2.73,0.2530431855,0.0244762979,0.1217138972,0.01314839942,0.2340512672,0.1216619243
2.75,0.2222464218,0.02634687976,0.1235256903,0.01334227994,0.2495708508,0.123506785
2.77,0.2716848414,0.0387014392,0.1254384221,0.01359434118,0.2741161887,0.1255339635
2.79,0.2785263718,0.03456143665,0.1275987133,0.01388185015,0.3025186732,0.1277986015
2.81,0.3366710057,0.03760938608,0.1300504735,0.01416936684,0.3256348712,0.1303009648
2.83,0.3810337461,0.03246755615,0.1329510789,0.01445231155,0.3371006087,0.1329785667
2.85,0.3728218357,0.04012667905,0.1360395655,0.01474996818,0.3456923762,0.1357763779
2.87,0.3430575812,0.03331164313,0.1390132835,0.01505491704,0.3465419797,0.1386527368
2.89,0.3110363153,0.041529932,0.1417683459,0.0153704996,0.3617378713,0.1416374912
2.91,0.3439168611,0.03852142559,0.1445673953,0.01571240511,0.3712695439,0.1447693148
2.93,0.3724494291,0.0206385472,0.1476710487,0.01596811497,0.3812024612,0.1480288015
2.95,0.4327341707,0.03077319822,0.1512082889,0.0161941589,0.394737073,0.1514362391
2.97,0.4764800481,0.04786965031,0.1552563269,0.01654469591,0.4100469534,0.155018625
2.99,0.4089848372,0.03607901437,0.1592487388,0.01692304305,0.4370454033,0.1588407939
3.01,0.4065470453,0.02649394559,0.1629771898,0.01720882785,0.4543303621,0.1629165962
3.03,0.4326786261,0.04708717567,0.1668661703,0.01755036508,0.460417436,0.1671548599
3.05,0.4879204941,0.03072418771,0.1711897419,0.01791515468,0.4698668924,0.1715224855
3.07,0.5545131797,0.03735300292,0.1761502484,0.01823917649,0.4798667694,0.1760402962
3.09,0.4872158596,0.03781616517,0.1811682105,0.01860142945,0.5048177529,0.1807862487
3.11,0.4809220563,0.03674655458,0.1858942325,0.01896539331,0.5355093056,0.1858658458
3.13,0.5506472409,0.04444619859,0.1909975078,0.019367132,0.5459864073,0.191214127
3.15,0.5352055011,0.0362653492,0.1964355692,0.0197711193,0.5506841645,0.1967070126
3.17,0.6083252673,0.04671751958,0.2022385469,0.02019239058,0.558269948,0.2023324941
3.19,0.6230674255,0.04221599079,0.2085646551,0.02064909425,0.5731873738,0.2081452427
3.21,0.5150137407,0.02852070681,0.2144812041,0.02101660662,0.5893805836,0.2141932062
3.23,0.5830559021,0.04322331314,0.2202669819,0.0213949646,0.5990741531,0.220453135
3.25,0.6024953972,0.03026380754,0.2265897503,0.021786419,0.5997656487,0.2268461493
3.27,0.614684213,0.05480033683,0.233161325,0.0222464663,0.6106521019,0.2333811757
3.29,0.6704192377,0.04619040254,0.2401864404,0.02279810696,0.6208560488,0.2401118685
3.31,0.6145691559,0.03351657491,0.2472930993,0.02323861953,0.633044418,0.2470488307
3.33,0.5820617702,0.04367222242,0.2539922241,0.02367116052,0.6281617492,0.2541104594
3.35,0.6841601977,0.0422521982,0.2611712434,0.02415803754,0.6186020477,0.2611754222
