r(Angstrom),g_mean,g_se,CN_raw,CN_raw_se,g_smooth,CN_smooth
3.09,2.202635599,0.08251499808,0.2769139488,0.01646928153,2.231067678,0.2765990706
3.11,2.314089985,0.08938538434,0.2989670444,0.0173086749,2.292889743,0.2986859072
3.13,2.319242526,0.09482690154,0.3218788348,0.0182197691,2.348172117,0.3216375079
3.15,2.26658091,0.04854470086,0.3448455073,0.0189363773,2.351131953,0.3451743288
3.17,2.356632029,0.08071884563,0.3682999307,0.01959310754,2.365616039,0.3691007885
3.19,2.57129609,0.07081080689,0.3936215035,0.02037119128,2.393968311,0.3935515645
3.21,2.407615806,0.07307077295,0.4195154479,0.02111970686,2.38688046,0.4184203166
3.23,2.204773778,0.08401393105,0.4438023479,0.02194743271,2.387607852,0.443567653
3.25,2.465775086,0.06914589286,0.4687173354,0.02276369082,2.396274681,0.469078703
3.27,2.390619096,0.08838099834,0.4949329954,0.02361476618,2.394978352,0.4949451326
3.29,2.337264261,0.08766631445,0.520769717,0.02457686391,2.384662327,0.521066149
3.31,2.437782535,0.07761677608,0.5471885554,0.0254908699,2.407078868,0.5475747219
3.33,2.473779365,0.0862920809,0.5746907731,0.0264089272,2.423196979,0.5746211292
3.35,2.420503325,0.08705537908,0.6024243817,0.02739129603,2.39541122,0.6019267629
3.37,2.332775179,0.08793526061,0.6296813007,0.02839489229,2.392329039,0.6293842086
3.39,2.361678532,0.0892049754,0.6569263061,0.02942295984,2.385072247,0.6571093541
3.41,2.388362125,0.09830899317,0.684821031,0.0305244181,2.361087601,0.6849795393
3.43,2.343335208,0.06975873999,0.7129334053,0.03152202039,2.338389404,0.7129012486
3.45,2.346445124,0.08758063404,0.7411252532,0.03246845954,2.351415929,0.7410935934
3.47,2.359976379,0.05473859547,0.7697474311,0.03333280735,2.352218016,0.7696983715
3.49,2.316721726,0.07497999533,0.7985165882,0.03413154178,2.350710281,0.7986303707
3.51,2.317790252,0.05100331176,0.8273564403,0.03491466282,2.347440375,0.8278660817
3.53,2.41867294,0.05578581886,0.8571720961,0.03558698152,2.325561459,0.8572779115
3.55,2.259074484,0.0578615113,0.8869443593,0.03631052203,2.292328444,0.8866736733
3.57,2.316012633,0.06102287777,0.9164009152,0.0370760163,2.272953295,0.9160643419
3.59,2.202334408,0.06086050153,0.945813744,0.03786953928,2.218411834,0.9453036542
3.61,2.105477896,0.07030863755,0.9741707051,0.03873343752,2.173105148,0.9742135709
