z(Angstrom),Total_mass_gcm3_mean,Total_mass_gcm3_se,CSH_Si_gcm3_mean,CSH_Si_gcm3_se,Ca_gcm3_mean,Ca_gcm3_se,H_Hydroxyl_CSH_gcm3_mean,H_Hydroxyl_CSH_gcm3_se,H_SiO2_Hydroxyl_gcm3_mean,H_SiO2_Hydroxyl_gcm3_se,H_Unbonded_CSH_gcm3_mean,H_Unbonded_CSH_gcm3_se,H_Unbonded_SiO2_gcm3_mean,H_Unbonded_SiO2_gcm3_se,H_Water_CSH_gcm3_mean,H_Water_CSH_gcm3_se,H_Water_IF_gcm3_mean,H_Water_IF_gcm3_se,O_Bridging_CSH_gcm3_mean,O_Bridging_CSH_gcm3_se,O_Hydroxyl_CSH_gcm3_mean,O_Hydroxyl_CSH_gcm3_se,O_NBO_CSH_gcm3_mean,O_NBO_CSH_gcm3_se,O_SiO2_Structural_gcm3_mean,O_SiO2_Structural_gcm3_se,O_SiO2_Surface_gcm3_mean,O_SiO2_Surface_gcm3_se,O_Unclassified_CSH_gcm3_mean,O_Unclassified_CSH_gcm3_se,O_Water_CSH_gcm3_mean,O_Water_CSH_gcm3_se,O_Water_IF_gcm3_mean,O_Water_IF_gcm3_se,O_Water_IF_CaCoord_gcm3_mean,O_Water_IF_CaCoord_gcm3_se,Si_Bulk_gcm3_mean,Si_Bulk_gcm3_se,Si_Surface_gcm3_mean,Si_Surface_gcm3_se
 7.292997, 0.1145612585, 0.0084587793, 0, 0, 0.0368578462, 0.0060001145, 0.0011425085, 0.0001408371, 0, 0, 0, 0, 0, 0, 0.0108646089, 0.0004121085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.065696295, 0.0048745144, 0, 0, 0, 0, 0, 0, 0, 0
 7.492805, 0.0936081555, 0.0084743573, 0, 0, 0.012000229, 0.0035396246, 0.0022634602, 0.0001429058, 0, 0, 0, 0, 0, 0, 0.0139903396, 0.0007444356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0653541268, 0.0071165964, 0, 0, 0, 0, 0, 0, 0, 0
 7.692613, 0.1305347913, 0.0150019135, 0, 0, 0.0274290949, 0.008829375, 0.0022419034, 0.0001701698, 0, 0, 0, 0, 0, 0, 0.0173747515, 0.0005793581, 0, 0, 0, 0, 0.001710841, 0.0008418055, 0, 0, 0, 0, 0, 0, 0, 0, 0.0817782005, 0.0068339029, 0, 0, 0, 0, 0, 0, 0, 0
 7.892422, 0.2139105345, 0.01184239, 0, 0, 0.067715578, 0.0071957321, 0.0014658599, 0.0002285638, 0, 0, 0, 0, 0, 0, 0.0205220389, 0.0005728201, 0, 0, 0, 0, 0.0095807097, 0.001676275, 0, 0, 0, 0, 0, 0, 0, 0, 0.114626348, 0.0070189489, 0, 0, 0, 0, 0, 0, 0, 0
 8.09223, 0.2819589331, 0.0097339194, 0, 0, 0.0788586478, 0.0067435465, 0.0007976003, 0.00010026, 0, 0, 0, 0, 0, 0, 0.0236908832, 0.0006180639, 0, 0, 0, 0, 0.0290842973, 0.0028029667, 0, 0, 0, 0, 0, 0, 0, 0, 0.1495275047, 0.0053534779, 0, 0, 0, 0, 0, 0, 0, 0
 8.292038, 0.2896946467, 0.012601851, 0, 0, 0.0137145474, 0.0031951162, 0.0003880217, 0.0000821602, 0, 0, 0, 0, 0, 0, 0.0292309714, 0.0008755561, 0, 0, 0, 0, 0.0393493433, 0.0033990964, 0, 0, 0, 0, 0, 0, 0, 0, 0.2070117628, 0.0098655809, 0, 0, 0, 0, 0, 0, 0, 0
 8.491846, 0.3384792373, 0.0094222786, 0, 0, 0.0017143184, 0.0017143184, 0.0008838273, 0.0001189997, 0, 0, 0, 0, 0, 0, 0.0296405499, 0.0007104099, 0, 0, 0, 0, 0.0369541659, 0.003794017, 0.0003421682, 0.0003421682, 0, 0, 0, 0, 0, 0, 0.2689442075, 0.009512289, 0, 0, 0, 0, 0, 0, 0, 0
 8.691654, 0.3851246765, 0.0119799926, 0, 0, 0.0128573882, 0.0047967069, 0.0021772331, 0.0002244062, 0, 0, 0, 0, 0, 0, 0.0313435343, 0.0008451386, 0, 0, 0, 0, 0.0208722604, 0.0022464916, 0.0030795138, 0.0012633181, 0, 0, 0, 0, 0, 0, 0.3147947467, 0.0107517527, 0, 0, 0, 0, 0, 0, 0, 0
 8.891462, 0.4502719996, 0.0146032023, 0, 0, 0.0608583042, 0.0074075722, 0.0030826172, 0.0001692331, 0, 0, 0, 0, 0, 0, 0.0325291563, 0.0010281207, 0, 0, 0, 0, 0.0136867281, 0.0028948916, 0.0177927466, 0.0031163122, 0, 0, 0, 0, 0, 0, 0.3223224472, 0.0088379993, 0, 0, 0, 0, 0, 0, 0, 0
 9.09127, 0.5797004387, 0.016738829, 0, 0, 0.1302882006, 0.0116270733, 0.0032550713, 0.0002569261, 0, 0, 0, 0, 0, 0, 0.0365818278, 0.0008753745, 0, 0, 0, 0, 0.0195035876, 0.0021796664, 0.0273734562, 0.0031399508, 0, 0, 0, 0, 0, 0, 0.3626982951, 0.0096652357, 0, 0, 0, 0, 0, 0, 0, 0
